demo,group,n,ece
age,35-44 years old,648,0.04158522249883776
age,18-24 years old,816,0.034292595042431186
age,45-54 years old,528,0.0496722263261967
age,25-34 years old,1275,0.033277196684228606
age,55-64 years old,418,0.0679557661359225
age,65+ years old,242,0.08112010461782286
gender,Female,1875,0.023315126181358947
gender,Male,1986,0.029921512476631253
gender,Non-binary / third gender,63,0.10153521381258841
region,UK,895,0.048673228826411806
region,US,1147,0.031631068175428725
region,Other,1885,0.026322125896034436
