model,rm_rank,borda_rank
HuggingFaceH4/zephyr-7b-beta,6,4
OpenAssistant/oasst-sft-4-pythia-12b-epoch-3.5,17,17
claude-2,15,12
claude-2.1,16,15
claude-instant-1,2,2
command,1,1
command-light,11,10
command-nightly,10,6
google/flan-t5-xxl,21,21
gpt-3.5-turbo,8,9
gpt-4,12,8
gpt-4-1106-preview,7,7
luminous-extended-control,20,20
luminous-supreme-control,19,19
meta-llama/Llama-2-13b-chat-hf,9,18
meta-llama/Llama-2-70b-chat-hf,5,11
meta-llama/Llama-2-7b-chat-hf,3,5
mistralai/Mistral-7B-Instruct-v0.1,13,14
models/chat-bison-001,4,3
tiiuae/falcon-7b-instruct,18,16
timdettmers/guanaco-33b-merged,14,13
