model,n_users,ratio,ci_lo,ci_hi,sig
google/flan-t5-xxl,474,2.29174905182107,1.9678626192552418,2.5838906553119996,True
timdettmers/guanaco-33b-merged,309,2.25311970621948,2.0694758181066146,2.424012213860089,True
command,293,2.1803145288403027,1.9565564757335754,2.383624614148326,True
command-light,296,2.0868222772839484,1.9132732081195931,2.255216974278115,True
luminous-extended-control,338,2.0243886126755113,1.7018009139233674,2.3083702849942913,True
meta-llama/Llama-2-13b-chat-hf,126,2.0196490251057466,1.754138409238536,2.2615963314890455,True
OpenAssistant/oasst-sft-4-pythia-12b-epoch-3.5,253,2.000451276125276,1.8046941680592403,2.1944059522032533,True
command-nightly,290,1.9865119096732446,1.8034598579672916,2.159301811489587,True
gpt-3.5-turbo,243,1.965558994952423,1.7730622661490445,2.148729135077193,True
luminous-supreme-control,339,1.9555420128455923,1.692354235964917,2.1960889340122933,True
gpt-4-1106-preview,230,1.9300233595472995,1.7202898273498788,2.128129776197423,True
HuggingFaceH4/zephyr-7b-beta,268,1.9253404744289657,1.7247106534504155,2.1085354700059704,True
claude-instant-1,260,1.8904202973190132,1.6841760133650892,2.093192702160221,True
tiiuae/falcon-7b-instruct,270,1.8857093581407478,1.6985398004603436,2.069472901520939,True
claude-2,264,1.8493322362425464,1.6680071493207536,2.034029710678118,True
gpt-4,237,1.8357760898920863,1.6388982128519318,2.0428572559704077,True
mistralai/Mistral-7B-Instruct-v0.1,253,1.8310167430663131,1.6317160244207836,2.0102053825776154,True
claude-2.1,265,1.7851631399339403,1.6070483256706185,1.9573422309785082,True
meta-llama/Llama-2-70b-chat-hf,221,1.7465606888462053,1.5476856184717005,1.9230815766044218,True
models/chat-bison-001,274,1.7450444525985416,1.556965040613819,1.9408565775616131,True
meta-llama/Llama-2-7b-chat-hf,253,1.7410771866524104,1.5596099672707415,1.9045751843045164,True
